model,hardware,strategy,latency_ms,latency_source,throughput_rps,estimated_accuracy,accuracy_source,model_size_mb,facility_energy_kwh,it_energy_kwh,energy_per_1000_inferences_wh,carbon_kgco2,monthly_cost_usd,active_hours_month,meets_latency,meets_accuracy,meets_cost,score
MobileNetV2,NVIDIA A10,ONNX Runtime,0.06515215063700452,measured_adjusted,21317.621526065795,0.9777777777777777,measured_dataset,14.0,45.55481027286558,29.201801456965114,9.110962054573115,16.90083461123313,239.57871202602846,0.06515215063700451,True,True,False,3.5132116170328613
MobileNetV2,NVIDIA A10,Structured Pruning,0.0763210907462053,measured_adjusted,17240.181721978755,0.9577777777777777,measured_dataset,9.1,45.55464546708781,29.201695812235776,9.110929093417562,16.90077346828958,239.57893665019228,0.0805611513432167,True,True,False,3.513262974542868
MobileNetV2,NVIDIA A10,Quantization + Batching,0.08562854083720595,measured_adjusted,25951.88707521053,0.9597777777777777,measured_dataset,5.88,45.55155334012386,29.199713679566575,9.110310668024772,16.899626289185953,239.57746038992406,0.05351783802325372,True,True,False,3.5132863802879077
MobileNetV2,NVIDIA A10,Measured Sklearn Pipeline,0.09307450091000646,measured_adjusted,10744.08124913716,0.9777777777777777,measured_dataset,14.0,45.55857416224761,29.20421420656898,9.111714832449522,16.902231014193863,239.581070594442,0.12927014015278676,True,True,False,3.513366863238841
MobileNetV2,NVIDIA A10,FP32 Baseline,0.09307450091000646,measured_adjusted,10744.08124913716,0.9777777777777777,measured_dataset,14.0,45.56057061029213,29.205493980956494,9.112114122058427,16.902971696418383,239.58170945781623,0.12927014015278676,True,True,False,3.5133794807904826
MobileNetV2,NVIDIA A10,Batch Size 8,0.11168940109200776,measured_adjusted,9524.894724412377,0.9777777777777777,measured_dataset,14.0,45.55753899385346,29.203550637085552,9.111507798770694,16.901846966719635,239.58103717895875,0.14581671809234342,True,True,False,3.5134474883471754
MobileNetV2,NVIDIA A10,Batch Size 32,0.1628803765925113,measured_adjusted,7871.121794239678,0.9777777777777777,measured_dataset,14.0,45.55416085251606,29.201385161869272,9.110832170503214,16.90059367628346,239.58050764014868,0.17645374130855393,True,True,False,3.5136655811793434
MobileNetV2,NVIDIA A100 PCIe,Caching + Quantization,0.0604984255915042,measured_adjusted,43498.30465237716,0.9657777777777777,measured_dataset,5.88,68.32797011377775,43.799980842165226,13.665594022755553,25.349676912211546,421.8659721875967,0.03192972461773833,True,True,False,3.832116118856357
MobileNetV2,NVIDIA A100 PCIe,INT8 Quantization,0.06701364065520465,measured_adjusted,21944.610394479492,0.9657777777777777,measured_dataset,5.88,68.33233933427336,43.8027816245342,13.666467866854672,25.351297893015417,421.8683738881073,0.06329066061880441,True,True,False,3.832175140216805
MobileNetV2,NVIDIA A100 PCIe,ONNX Runtime,0.06515215063700452,measured_adjusted,21317.621526065795,0.9777777777777777,measured_dataset,14.0,68.33565329283103,43.80490595694297,13.667130658566204,25.35252737164031,421.8694939225263,0.06515215063700451,True,True,False,3.8321874570491516
MobileNetV2,NVIDIA A100 PCIe,Quantization + Batching,0.08562854083720595,measured_adjusted,25951.88707521053,0.9597777777777777,measured_dataset,5.88,68.32877643679404,43.80049771589361,13.665755287358808,25.34997605805059,421.8669210305909,0.05351783802325372,True,True,False,3.8322391795085955
MobileNetV2,NVIDIA A100 PCIe,Structured Pruning,0.0763210907462053,measured_adjusted,17240.181721978755,0.9577777777777777,measured_dataset,9.1,68.33580444209753,43.805002847498415,13.667160888419504,25.352583448018184,421.87003537831424,0.0805611513432167,True,True,False,3.8322410271210483
MobileNetV2,NVIDIA A100 PCIe,Measured Sklearn Pipeline,0.09307450091000646,measured_adjusted,10744.08124913716,0.9777777777777777,measured_dataset,14.0,68.34518155286798,43.81101381594101,13.669036310573597,25.356062356114023,421.8745947414027,0.12927014015278676,True,True,False,3.832380031729524
